"コード","住所1","住所2"
"40050_0397_00","福岡市東区","三苫"
"40050_0664_00","福岡市東区","みどりが丘"
"40050_0702_00","福岡市東区","みなと香椎"
"40050_0409_00","福岡市東区","御幸町"
"40050_0435_00","福岡市東区","美和台"
"40050_0688_00","福岡市東区","美和台新町"
"40050_0447_00","福岡市東区","若宮"
"40050_0500_00","福岡市東区","和白"
"40050_0587_00","福岡市東区","和白丘"
"40050_0575_00","福岡市東区","和白東"
"40051_9993_00","福岡市博多区","（町名なし）"
"40051_0018_00","福岡市博多区","相生町"
"40051_0020_00","福岡市博多区","青木"
"40051_0032_00","福岡市博多区","旭町"
"40051_0044_00","福岡市博多区","泉町"
"40051_0057_00","福岡市博多区","井相田"
"40051_0069_00","福岡市博多区","板付"
"40051_0071_00","福岡市博多区","臼井"
"40051_1212_00","福岡市博多区","浦田"
"40051_0083_00","福岡市博多区","榎田"
"40051_0095_00","福岡市博多区","大井"
"40051_0107_00","福岡市博多区","沖浜町"
"40051_0160_00","福岡市博多区","春日町"
"40051_0145_00","福岡市博多区","堅粕"
"40051_0172_00","福岡市博多区","潟州町"
"40051_0121_00","福岡市博多区","金隈"
"40051_1248_00","福岡市博多区","金の隈"
"40051_0119_00","福岡市博多区","上臼井"
"40051_0196_00","福岡市博多区","上川端町"
"40051_0184_00","福岡市博多区","上呉服町"
"40051_0133_00","福岡市博多区","上月隈"
"40051_0968_00","福岡市博多区","上人参町"
"40051_0158_00","福岡市博多区","上牟田"
"40051_1059_00","福岡市博多区","上牟田町"
"40051_0208_00","福岡市博多区","神屋町"
"40051_1061_00","福岡市博多区","川瀬"
"40051_0210_00","福岡市博多区","川瀬町"
"40051_0222_00","福岡市博多区","京町"
"40051_0234_00","福岡市博多区","祗園町"
"40051_0246_00","福岡市博多区","銀天町"
"40051_1224_00","福岡市博多区","空港前"
"40051_0285_00","福岡市博多区","寿町"
"40051_0970_00","福岡市博多区","小林町"
"40051_0261_00","福岡市博多区","古門戸町"
"40051_0259_00","福岡市博多区","御供所町"
"40051_0273_00","福岡市博多区","五十川"
"40051_0309_00","福岡市博多区","西門橋通"
"40051_0311_00","福岡市博多区","栄町"
"40051_0297_00","福岡市博多区","雀居"
"40051_0335_00","福岡市博多区","三筑"
"40051_0323_00","福岡市博多区","山王"
"40051_1198_00","福岡市博多区","山王町"
"40051_0386_00","福岡市博多区","東雲町"
"40051_0350_00","福岡市博多区","清水町"
"40051_0412_00","福岡市博多区","下臼井"
"40051_0374_00","福岡市博多区","下川端町"
"40051_0362_00","福岡市博多区","下呉服町"
"40051_0347_00","福岡市博多区","下月隈"
"40051_0400_00","福岡市博多区","昭南町"
"40051_0398_00","福岡市博多区","新和町"
"40051_0424_00","福岡市博多区","須崎町"
"40051_0436_00","福岡市博多区","住吉"
"40051_0448_00","福岡市博多区","石城町"
"40051_0451_00","福岡市博多区","崇福寺新町"
"40051_0475_00","福岡市博多区","大博町"
"40051_0499_00","福岡市博多区","竹丘町"
"40051_0487_00","福岡市博多区","竹下"
"40051_0463_00","福岡市博多区","大学通"
"40051_0537_00","福岡市博多区","築港本町"
"40051_0549_00","福岡市博多区","千鳥町"
"40051_0513_00","福岡市博多区","千代"
"40051_0994_00","福岡市博多区","千代新町"
"40051_0501_00","福岡市博多区","千代橋通"
"40051_0525_00","福岡市博多区","千代町"
"40051_0982_00","福岡市博多区","月隈"
"40051_0552_00","福岡市博多区","綱場町"
"40051_0564_00","福岡市博多区","対馬小路"
"40051_0576_00","福岡市博多区","寺崎町"
"40051_0588_00","福岡市博多区","店屋町"
"40051_0590_00","福岡市博多区","東光"
"40051_0626_00","福岡市博多区","東光寺"
"40051_0614_00","福岡市博多区","東光寺本町"
"40051_1162_00","福岡市博多区","東光寺町"
"40051_1186_00","福岡市博多区","東光町"
"40051_1008_00","福岡市博多区","東福町"
"40051_0602_00","福岡市博多区","常盤町"
"40051_0689_00","福岡市博多区","那珂"
"40051_0640_00","福岡市博多区","中呉服町"
"40051_0677_00","福岡市博多区","中洲"
"40051_0665_00","福岡市博多区","中洲中島町"
"40051_0638_00","福岡市博多区","仲町"
"40051_0653_00","福岡市博多区","奈良屋町"
"40051_0691_00","福岡市博多区","西堅粕"
"40051_1097_00","福岡市博多区","西月隈"
"40051_0703_00","福岡市博多区","西春町"
"40051_0715_00","福岡市博多区","博多駅中央街"
"40051_0739_00","福岡市博多区","博多駅東"
"40051_0727_00","福岡市博多区","博多駅前"
"40051_0741_00","福岡市博多区","博多駅南"
"40051_0754_00","福岡市博多区","春町"
"40051_1150_00","福岡市博多区","半道橋"
"40051_1010_00","福岡市博多区","馬場新町"
"40051_1174_00","福岡市博多区","比恵"
"40051_0792_00","福岡市博多区","比恵町"
"40051_0804_00","福岡市博多区","光丘町"
"40051_1022_00","福岡市博多区","東堅粕"
"40051_1085_00","福岡市博多区","東公園"
"40051_1200_00","福岡市博多区","東月隈"
"40051_1147_00","福岡市博多区","東那珂"
"40051_1135_00","福岡市博多区","東那珂町"
"40051_0778_00","福岡市博多区","東浜町"
"40051_0780_00","福岡市博多区","東比恵"
"40051_0766_00","福岡市博多区","東平尾"
"40051_1236_00","福岡市博多区","東平尾公園"
"40051_1034_00","福岡市博多区","東宝来町"
"40051_0956_00","福岡市博多区","（大字）平原"
"40051_1046_00","福岡市博多区","平原"
"40051_1073_00","福岡市博多区","二股瀬"
"40051_0816_00","福岡市博多区","宝来町"
"40051_0828_00","福岡市博多区","馬出"
"40051_0830_00","福岡市博多区","真砂町"
"40051_0855_00","福岡市博多区","水茶屋町"
"40051_0879_00","福岡市博多区","南八幡町"
"40051_0881_00","福岡市博多区","南本町"
"40051_0867_00","福岡市博多区","美野島"
"40051_0842_00","福岡市博多区","妙見町"
"40051_0893_00","福岡市博多区","麦野"
"40051_0905_00","福岡市博多区","元町"
"40051_0917_00","福岡市博多区","諸岡"
"40051_1111_00","福岡市博多区","豊"
"40051_0929_00","福岡市博多区","吉塚"
"40051_1123_00","福岡市博多区","吉塚東"
"40051_1109_00","福岡市博多区","吉塚本町"
"40051_0931_00","福岡市博多区","立花寺"
"40051_0943_00","福岡市博多区","冷泉町"
"40052_0019_00","福岡市中央区","赤坂"
"40052_0021_00","福岡市中央区","荒津"
"40052_0033_00","福岡市中央区","荒戸"
"40052_0045_00","福岡市中央区","伊崎"
"40052_0058_00","福岡市中央区","今泉"
"40052_0060_00","福岡市中央区","今川"
"40052_0072_00","福岡市中央区","大手門"
"40052_0084_00","福岡市中央区","大濠"
"40052_0096_00","福岡市中央区","大濠公園"
"40052_0108_00","福岡市中央区","大宮"
"40052_0110_00","福岡市中央区","小笹"
"40052_0122_00","福岡市中央区","清川"
"40052_0134_00","福岡市中央区","草香江"
"40052_0146_00","福岡市中央区","黒門"
"40052_0159_00","福岡市中央区","警固"
"40052_0161_00","福岡市中央区","御所ヶ谷"
"40052_0173_00","福岡市中央区","桜坂"
"40052_0540_00","福岡市中央区","笹丘"
"40052_0185_00","福岡市中央区","山荘通"
"40052_0223_00","福岡市中央区","白金"
"40052_0197_00","福岡市中央区","地行"
"40052_0565_00","福岡市中央区","地行浜"
"40052_0209_00","福岡市中央区","浄水通"
"40052_0211_00","福岡市中央区","城内"
"40052_0247_00","福岡市中央区","高砂"
"40052_0250_00","福岡市中央区","田島"
"40052_0262_00","福岡市中央区","谷"
"40052_0235_00","福岡市中央区","大名"
"40052_0274_00","福岡市中央区","輝国"
"40052_0286_00","福岡市中央区","天神"
"40052_0298_00","福岡市中央区","唐人町"
"40052_0300_00","福岡市中央区","鳥飼"
"40052_0312_00","福岡市中央区","長浜"
"40052_0324_00","福岡市中央区","那の川"
"40052_0336_00","福岡市中央区","那の津"
"40052_0348_00","福岡市中央区","西公園"
"40052_0351_00","福岡市中央区","西中洲"
"40052_0363_00","福岡市中央区","春吉"
"40052_0375_00","福岡市中央区","梅光園"
"40052_0387_00","福岡市中央区","梅光園団地"
"40052_0514_00","福岡市中央区","東薬院"
"40052_0399_00","福岡市中央区","平尾"
"40052_0401_00","福岡市中央区","平丘町"
"40052_0413_00","福岡市中央区","平尾浄水町"
"40052_0425_00","福岡市中央区","福浜"
"40052_0437_00","福岡市中央区","古小烏町"
"40052_0553_00","福岡市中央区","平和"
"40052_0449_00","福岡市中央区","舞鶴"
"40052_0452_00","福岡市中央区","港"
"40052_0464_00","福岡市中央区","南公園"
"40052_0476_00","福岡市中央区","薬院"
"40052_0488_00","福岡市中央区","薬院伊福町"
"40052_0526_00","福岡市中央区","友泉団地"
"40052_0490_00","福岡市中央区","六本松"
"40052_0502_00","福岡市中央区","渡辺通"
"40053_0010_00","福岡市南区","井尻"
"40053_0022_00","福岡市南区","市崎"
"40053_0034_00","福岡市南区","大池"
"40053_0046_00","福岡市南区","大楠"
"40053_0655_00","福岡市南区","大橋"
"40053_0592_00","福岡市南区","大橋新町"
"40053_0059_00","福岡市南区","大橋団地"
"40053_0541_00","福岡市南区","大橋本町"
"40053_0061_00","福岡市南区","曰佐"
"40053_0085_00","福岡市南区","折立町"
"40053_0097_00","福岡市南区","柏原"
"40053_0109_00","福岡市南区","上磐瀬町"
"40053_0111_00","福岡市南区","上曰佐"
"40053_0123_00","福岡市南区","上長尾"
"40053_0135_00","福岡市南区","神田町"
"40053_0147_00","福岡市南区","警弥郷"
"40053_0150_00","福岡市南区","五十川"
"40053_0162_00","福岡市南区","境町"
"40053_0174_00","福岡市南区","皿山"
"40053_0186_00","福岡市南区","塩原"
"40053_0198_00","福岡市南区","清水"
"40053_0200_00","福岡市南区","清水西町"
"40053_0212_00","福岡市南区","下曰佐"
"40053_0212_01","福岡市南区","下日佐鞘の元"
"40053_0212_02","福岡市南区","下日佐日掛"
"40053_0212_03","福岡市南区","下日佐不都原"
"40053_0539_00","福岡市南区","下長尾"
"40053_0628_00","福岡市南区","下若久"
"40053_0729_00","福岡市南区","大平寺"
"40053_0224_00","福岡市南区","高木"
"40053_0236_00","福岡市南区","高宮"
"40053_0248_00","福岡市南区","多賀"
"40053_0251_00","福岡市南区","玉川町"
"40053_0681_00","福岡市南区","筑紫丘"
"40053_0731_00","福岡市南区","鶴田"
"40053_0263_00","福岡市南区","寺塚"
"40053_0705_00","福岡市南区","中尾"
"40053_0578_00","福岡市南区","中尾町"
"40053_0275_00","福岡市南区","中村町"
"40053_0287_00","福岡市南区","長丘"
"40053_0299_00","福岡市南区","長住"
"40053_0301_00","福岡市南区","那の川"
"40053_0616_00","福岡市南区","西高宮町"
"40053_0630_00","福岡市南区","西長住"
"40053_0313_00","福岡市南区","野多目"
"40053_0325_00","福岡市南区","野間"
"40053_0527_00","福岡市南区","野間大池"
"40053_0337_00","福岡市南区","野間新町"
"40053_0349_00","福岡市南区","野間本町"
"40053_0693_00","福岡市南区","花畑"
"40053_0604_00","福岡市南区","東若久"
"40053_0352_00","福岡市南区","桧原"
"40053_0376_00","福岡市南区","日吉町"
"40053_0364_00","福岡市南区","平原"
"40053_0388_00","福岡市南区","平和"
"40053_0390_00","福岡市南区","的場"
"40053_0667_00","福岡市南区","南大橋"
"40053_0402_00","福岡市南区","三宅"
"40053_0642_00","福岡市南区","三宅本町"
"40053_0580_00","福岡市南区","向新町"
"40053_0679_00","福岡市南区","向野"
"40053_0566_00","福岡市南区","向野東町"
"40053_0554_00","福岡市南区","向野本町"
"40053_0426_00","福岡市南区","屋形原"
"40053_0438_00","福岡市南区","弥永"
"40053_0440_00","福岡市南区","弥永団地"
"40053_0465_00","福岡市南区","柳河内"
"40053_0453_00","福岡市南区","柳瀬"
"40053_0477_00","福岡市南区","横手"
"40053_0717_00","福岡市南区","横手南町"
"40053_0489_00","福岡市南区","老司"
"40053_0491_00","福岡市南区","若久"
"40053_0503_00","福岡市南区","若久団地"
"40053_0515_00","福岡市南区","和田"
"40054_1052_00","福岡市西区","愛宕"
"40054_1254_00","福岡市西区","愛宕浜"
"40054_1292_00","福岡市西区","愛宕南"
"40054_0062_00","福岡市西区","飯氏"
"40054_0074_00","福岡市西区","飯盛"
"40054_1049_00","福岡市西区","壱岐団地"
"40054_1189_00","福岡市西区","生の松原"
"40054_1241_00","福岡市西区","生松台"
"40054_0086_00","福岡市西区","石丸"
"40054_1239_00","福岡市西区","泉"
"40054_1266_00","福岡市西区","今宿"
"40054_0098_00","福岡市西区","今宿青木"
"40054_1203_00","福岡市西区","今宿駅前"
"40054_0100_00","福岡市西区","今宿上ノ原"
"40054_0872_00","福岡市西区","今宿下開"
"40054_1381_00","福岡市西区","今宿西"
"40054_1191_00","福岡市西区","今宿東"
"40054_0112_00","福岡市西区","今宿町"
"40054_0124_00","福岡市西区","今津"
"40054_0136_00","福岡市西区","宇田川原"
"40054_1177_00","福岡市西区","内浜"
"40054_1114_00","福岡市西区","大町団地"
"40054_1165_00","福岡市西区","小戸"
"40054_0163_00","福岡市西区","小呂島"
"40054_0187_00","福岡市西区","金武"
"40054_0860_00","福岡市西区","上長尾"
"40054_1227_00","福岡市西区","上山門"
"40054_1355_00","福岡市西区","北原"
"40054_1330_00","福岡市西区","九大新町"
"40054_0201_00","福岡市西区","草場"
"40054_0213_00","福岡市西区","桑原"
"40054_0225_00","福岡市西区","玄界島"
"40054_0237_00","福岡市西区","小田"
"40054_0249_00","福岡市西区","小田部"
"40054_1342_00","福岡市西区","西都"
"40054_0264_00","福岡市西区","下長尾"
"40054_1064_00","福岡市西区","下山門団地"
"40054_0276_00","福岡市西区","下山門"
"40054_0288_00","福岡市西区","庄"
"40054_1153_00","福岡市西区","十郎川団地"
"40054_0290_00","福岡市西区","拾六町"
"40054_1102_00","福岡市西区","拾六町団地"
"40054_1140_00","福岡市西区","城の原団地"
"40054_0340_00","福岡市西区","周船寺"
"40054_0353_00","福岡市西区","千里"
"40054_0377_00","福岡市西区","田"
"40054_0415_00","福岡市西区","田尻"
"40054_0427_00","福岡市西区","太郎丸"
"40054_0466_00","福岡市西区","戸切"
"40054_0478_00","福岡市西区","徳永"
"40054_1367_00","福岡市西区","徳永北"
"40054_0896_00","福岡市西区","飛石町"
"40054_0480_00","福岡市西区","豊浜"
"40054_1280_00","福岡市西区","西入部"
"40054_0555_00","福岡市西区","西浦"
"40054_1278_00","福岡市西区","西の丘"
"40054_0579_00","福岡市西区","野方"
"40054_0593_00","福岡市西区","能古"
"40054_0605_00","福岡市西区","橋本"
"40054_0617_00","福岡市西区","羽根戸"
"40054_0668_00","福岡市西区","東田島"
"40054_0884_00","福岡市西区","檜原"
"40054_0670_00","福岡市西区","福重"
"40054_1126_00","福岡市西区","福重団地"
"40054_0682_00","福岡市西区","福陵町"
"40054_1328_00","福岡市西区","富士見"
"40054_0744_00","福岡市西区","宮浦"
"40054_0757_00","福岡市西区","女原"
"40054_1379_00","福岡市西区","女原北"
"40054_1316_00","福岡市西区","室見が丘"
"40054_1088_00","福岡市西区","姪の浜"
"40054_1304_00","福岡市西区","姪浜駅南"
"40054_0783_00","福岡市西区","姪浜町"
"40054_0807_00","福岡市西区","元岡"
"40054_0819_00","福岡市西区","元浜"
"40054_0845_00","福岡市西区","横浜"
"40054_0858_00","福岡市西区","吉武"
"40055_0012_00","福岡市早良区","曙"
"40055_0024_00","福岡市早良区","荒江"
"40055_0036_00","福岡市早良区","有田"
"40055_0048_00","福岡市早良区","有田団地"
"40055_0051_00","福岡市早良区","飯倉"
"40055_0063_00","福岡市早良区","飯場"
"40055_0075_00","福岡市早良区","石釜"
"40055_0087_00","福岡市早良区","板屋"
"40055_0101_00","福岡市早良区","内野"
"40055_0099_00","福岡市早良区","梅林"
"40055_0113_00","福岡市早良区","小笠木"
"40055_0125_00","福岡市早良区","金武"
"40055_0467_00","福岡市早良区","賀茂"
"40055_0137_00","福岡市早良区","小田部"
"40055_0493_00","福岡市早良区","早良"
"40055_0149_00","福岡市早良区","椎原"
"40055_0152_00","福岡市早良区","四箇"
"40055_0202_00","福岡市早良区","四箇田団地"
"40055_0190_00","福岡市早良区","重留"
"40055_0164_00","福岡市早良区","昭代"
"40055_0176_00","福岡市早良区","城西"
"40055_0188_00","福岡市早良区","次郎丸"
"40055_0214_00","福岡市早良区","祖原"
"40055_0226_00","福岡市早良区","田"
"40055_0238_00","福岡市早良区","高取"
"40055_0479_00","福岡市早良区","田隈"
"40055_0505_00","福岡市早良区","田村"
"40055_0289_00","福岡市早良区","西"
"40055_0240_00","福岡市早良区","西油山"
"40055_0277_00","福岡市早良区","西入部"
"40055_0253_00","福岡市早良区","西新"
"40055_0291_00","福岡市早良区","西新町"
"40055_0265_00","福岡市早良区","西脇"
"40055_0303_00","福岡市早良区","野芥"
"40055_0315_00","福岡市早良区","橋本"
"40055_0327_00","福岡市早良区","原"
"40055_0339_00","福岡市早良区","原団地"
"40055_0341_00","福岡市早良区","東入部"
"40055_0354_00","福岡市早良区","藤崎"
"40055_0366_00","福岡市早良区","干隈"
"40055_0378_00","福岡市早良区","星の原団地"
"40055_0380_00","福岡市早良区","曲渕"
"40055_0392_00","福岡市早良区","南庄"
"40055_0404_00","福岡市早良区","室住団地"
"40055_0416_00","福岡市早良区","室見"
"40055_0428_00","福岡市早良区","免"
"40055_0430_00","福岡市早良区","百道"
"40055_0481_00","福岡市早良区","百道浜"
"40055_0442_00","福岡市早良区","弥生"
"40055_0455_00","福岡市早良区","脇山"
"40056_0013_00","福岡市城南区","荒江"
"40056_0025_00","福岡市城南区","荒江団地"
"40056_0037_00","福岡市城南区","飯倉"
"40056_0049_00","福岡市城南区","梅林"
"40056_0052_00","福岡市城南区","片江"
"40056_0064_00","福岡市城南区","金山団地"
"40056_0241_00","福岡市城南区","神松寺"
"40056_0076_00","福岡市城南区","城西団地"
"40056_0088_00","福岡市城南区","宝台団地"
"40056_0090_00","福岡市城南区","田島"
"40056_0102_00","福岡市城南区","茶山"
"40056_0114_00","福岡市城南区","堤"
"40056_0126_00","福岡市城南区","堤団地"
"40056_0140_00","福岡市城南区","友丘"
"40056_0138_00","福岡市城南区","鳥飼"
"40056_0153_00","福岡市城南区","長尾"
"40056_0165_00","福岡市城南区","七隈"
"40056_0278_00","福岡市城南区","西片江"
"40056_0177_00","福岡市城南区","野芥"
"40056_0189_00","福岡市城南区","樋井川"
"40056_0191_00","福岡市城南区","東油山"
"40056_0203_00","福岡市城南区","別府"
"40056_0215_00","福岡市城南区","別府団地"
"40056_0227_00","福岡市城南区","干隈"
"40056_0266_00","福岡市城南区","松山"
"40056_0254_00","福岡市城南区","南片江"
"40056_0239_00","福岡市城南区","友泉亭"
"40516_0211_00","春日市","赤井手"
"40516_0300_00","春日市","泉"
"40516_0235_00","春日市","一の谷"
"40516_0324_00","春日市","大谷"
"40516_0449_00","春日市","大土居"
"40516_0336_00","春日市","岡本"
"40516_0019_00","春日市","岡本町"
"40516_0033_00","春日市","春日"
"40516_0286_00","春日市","春日公園"
"40516_0250_00","春日市","春日原"
"40516_0060_00","春日市","春日原北町"
"40516_0045_00","春日市","春日原東町"
"40516_0058_00","春日市","春日原南町"
"40516_0021_00","春日市","上白水"
"40516_0072_00","春日市","小倉"
"40516_0437_00","春日市","小倉東"
"40516_0185_00","春日市","坂口町"
"40516_0197_00","春日市","桜ヶ丘"
"40516_0084_00","春日市","下白水"
"40516_0401_00","春日市","下白水北"
"40516_0452_00","春日市","白水池"
"40516_0413_00","春日市","白水ヶ丘"
"40516_0425_00","春日市","下白水南"
"40516_0096_00","春日市","神明町"
"40516_0387_00","春日市","須玖南"
"40516_0108_00","春日市","須玖"
"40516_0375_00","春日市","須玖北"
"40516_0351_00","春日市","惣利"
"40516_0110_00","春日市","宝町"
"40516_0223_00","春日市","ちくし台"
"40516_0134_00","春日市","千歳町"
"40516_0209_00","春日市","塚原台"
"40516_0464_00","春日市","天神山"
"40516_0399_00","春日市","昇町"
"40516_0159_00","春日市","伯玄町"
"40516_0146_00","春日市","原町"
"40516_0161_00","春日市","光町"
"40516_0173_00","春日市","日の出町"
"40516_0348_00","春日市","平田台"
"40516_0476_00","春日市","星見ヶ丘"
"40516_0262_00","春日市","松ヶ丘"
"40516_0298_00","春日市","紅葉ヶ丘西"
"40516_0312_00","春日市","紅葉ヶ丘東"
"40516_0122_00","春日市","大和町"
"40516_0363_00","春日市","弥生"
"40516_0247_00","春日市","若葉台西"
"40516_0274_00","春日市","若葉台東"
"40517_0010_00","大野城市","曙町"
"40517_0325_00","大野城市","旭ヶ丘"
"40517_0022_00","大野城市","牛頸"
"40517_0275_00","大野城市","大池"
"40517_0287_00","大野城市","大城"
"40517_0376_00","大野城市","乙金東"
"40517_0034_00","大野城市","乙金"
"40517_0046_00","大野城市","乙金台"
"40517_0059_00","大野城市","上大利"
"40517_0198_00","大野城市","上筒井"
"40517_0263_00","大野城市","川久保"
"40517_0061_00","大野城市","瓦田"
"40517_0085_00","大野城市","栄町"
"40517_0073_00","大野城市","雑餉隈町"
"40517_0097_00","大野城市","下大利"
"40517_0248_00","大野城市","下大利団地"
"40517_0109_00","大野城市","白木原"
"40517_0301_00","大野城市","中央"
"40517_0364_00","大野城市","月の浦"
"40517_0111_00","大野城市","筒井"
"40517_0212_00","大野城市","つつじヶ丘"
"40517_0135_00","大野城市","中"
"40517_0123_00","大野城市","仲島"
"40517_0224_00","大野城市","仲畑"
"40517_0147_00","大野城市","錦町"
"40517_0352_00","大野城市","畑ケ坂"
"40517_0150_00","大野城市","畑詰"
"40517_0299_00","大野城市","東大利"
"40517_0402_00","大野城市","平田台"
"40517_0200_00","大野城市","平野台"
"40517_0251_00","大野城市","御笠川"
"40517_0162_00","大野城市","瑞穂町"
"40517_0236_00","大野城市","緑ヶ丘"
"40517_0390_00","大野城市","南大利"
"40517_0174_00","大野城市","南ヶ丘"
"40517_0337_00","大野城市","宮野台"
"40517_0313_00","大野城市","紫台"
"40517_0186_00","大野城市","山田"
"40517_0388_00","大野城市","横峰"
"40517_0349_00","大野城市","若草"
"40518_0011_00","筑紫野市","阿志岐"
"40518_0023_00","筑紫野市","天山"
"40518_0035_00","筑紫野市","石崎"
"40518_0047_00","筑紫野市","牛島"
"40518_0389_00","筑紫野市","美しが丘北"
"40518_0377_00","筑紫野市","美しが丘南"
"40518_0062_00","筑紫野市","大石"
"40518_0050_00","筑紫野市","岡田"
"40518_0074_00","筑紫野市","上古賀"
"40518_0086_00","筑紫野市","隈"
"40518_0100_00","筑紫野市","香園"
"40518_0098_00","筑紫野市","古賀"
"40518_0415_00","筑紫野市","桜台"
"40518_0112_00","筑紫野市","下見"
"40518_0124_00","筑紫野市","杉塚"
"40518_0136_00","筑紫野市","俗明院"
"40518_0148_00","筑紫野市","筑紫"
"40518_0365_00","筑紫野市","筑紫駅前通"
"40518_0151_00","筑紫野市","常松"
"40518_0427_00","筑紫野市","天拝坂"
"40518_0163_00","筑紫野市","塔原"
"40518_0504_00","筑紫野市","塔原西"
"40518_0478_00","筑紫野市","塔原東"
"40518_0516_00","筑紫野市","塔原南"
"40518_0175_00","筑紫野市","永岡"
"40518_0187_00","筑紫野市","西小田"
"40518_0201_00","筑紫野市","萩原"
"40518_0199_00","筑紫野市","針摺"
"40518_0528_00","筑紫野市","針摺北"
"40518_0530_00","筑紫野市","針摺中央"
"40518_0555_00","筑紫野市","針摺西"
"40518_0542_00","筑紫野市","針摺東"
"40518_0567_00","筑紫野市","針摺南"
"40518_0225_00","筑紫野市","原"
"40518_0213_00","筑紫野市","原田"
"40518_0391_00","筑紫野市","光が丘"
"40518_0237_00","筑紫野市","平等寺"
"40518_0249_00","筑紫野市","二日市"
"40518_0439_00","筑紫野市","二日市北"
"40518_0492_00","筑紫野市","二日市中央"
"40518_0480_00","筑紫野市","二日市西"
"40518_0353_00","筑紫野市","二日市東町"
"40518_0454_00","筑紫野市","二日市南"
"40518_0252_00","筑紫野市","本道寺"
"40518_0441_00","筑紫野市","美咲"
"40518_0264_00","筑紫野市","武蔵"
"40518_0403_00","筑紫野市","むさしケ丘"
"40518_0276_00","筑紫野市","紫"
"40518_0288_00","筑紫野市","諸田"
"40518_0302_00","筑紫野市","山家"
"40518_0290_00","筑紫野市","山口"
"40518_0314_00","筑紫野市","柚須原"
"40518_0466_00","筑紫野市","湯町"
"40518_0326_00","筑紫野市","吉木"
"40518_0338_00","筑紫野市","立明寺"
"40518_0340_00","筑紫野市","若江"
"40519_0479_00","宗像市","青葉台"
"40519_0012_00","宗像市","赤間"
"40519_0719_00","宗像市","赤間駅前"
"40519_0531_00","宗像市","赤間文教町"
"40519_0036_00","宗像市","朝野"
"40519_0024_00","宗像市","朝町"
"40519_0707_00","宗像市","アスティ"
"40519_0051_00","宗像市","池浦"
"40519_0543_00","宗像市","池田"
"40519_0048_00","宗像市","石丸"
"40519_0442_00","宗像市","泉ヶ丘"
"40519_0063_00","宗像市","稲元"
"40519_0556_00","宗像市","江口"
"40519_0517_00","宗像市","桜美台"
"40519_0075_00","宗像市","王丸"
"40519_0101_00","宗像市","大井"
"40519_0113_00","宗像市","大井台"
"40519_0733_00","宗像市","大井南"
"40519_0695_00","宗像市","大島"
"40519_0430_00","宗像市","大谷"
"40519_0099_00","宗像市","大穂"
"40519_0087_00","宗像市","大穂町"
